eid,seed,rtype,rsize,subject,medical,forgetting
E11_s0,0,endogenous,100,college_biology,True,0.01388888888888895
E11_s0,0,endogenous,100,college_chemistry,False,-0.030000000000000027
E11_s0,0,endogenous,100,college_computer_science,False,-0.010000000000000009
E11_s0,0,endogenous,100,college_mathematics,False,0.010000000000000009
E11_s0,0,endogenous,100,college_medicine,True,-0.011560693641618491
E11_s0,0,endogenous,100,college_physics,False,0.009803921568627527
E11_s0,0,endogenous,100,computer_security,False,-0.010000000000000009
E11_s0,0,endogenous,100,conceptual_physics,False,-0.029787234042553234
E11_s0,0,endogenous,100,econometrics,False,-0.06140350877192979
E11_s0,0,endogenous,100,electrical_engineering,False,-0.03448275862068961
E11_s0,0,endogenous,100,elementary_mathematics,False,-0.04761904761904767
E11_s0,0,endogenous,100,formal_logic,False,-0.007936507936507908
E11_s0,0,endogenous,100,global_facts,False,-0.040000000000000036
E11_s0,0,endogenous,100,high_school_biology,False,-0.006451612903225823
E11_s0,0,endogenous,100,high_school_chemistry,False,0.009852216748768461
E11_s0,0,endogenous,100,high_school_computer_science,False,-0.040000000000000036
E11_s0,0,endogenous,100,high_school_european_history,False,-0.36969696969696975
E11_s0,0,endogenous,100,high_school_geography,False,0.015151515151515138
E11_s0,0,endogenous,100,high_school_government_and_politics,False,-0.01036269430051806
E11_s0,0,endogenous,100,high_school_macroeconomics,False,-0.048717948717948656
E11_s0,0,endogenous,100,high_school_mathematics,False,-0.04444444444444451
E11_s0,0,endogenous,100,high_school_microeconomics,False,-0.021008403361344463
E11_s0,0,endogenous,100,high_school_physics,False,-0.03311258278145701
E11_s0,0,endogenous,100,high_school_psychology,False,-0.007339449541284404
E11_s0,0,endogenous,100,high_school_statistics,False,-0.0185185185185186
E11_s0,0,endogenous,100,high_school_us_history,False,-0.2450980392156863
E11_s0,0,endogenous,100,high_school_world_history,False,-0.3333333333333333
E11_s0,0,endogenous,100,human_aging,True,0.0
E11_s0,0,endogenous,100,human_sexuality,True,-0.03053435114503822
E11_s0,0,endogenous,100,international_law,False,0.0
E11_s0,0,endogenous,100,jurisprudence,False,0.01851851851851849
E11_s0,0,endogenous,100,logical_fallacies,False,-0.036809815950920255
E11_s0,0,endogenous,100,machine_learning,False,-0.044642857142857095
E11_s0,0,endogenous,100,management,False,-0.009708737864077666
E11_s0,0,endogenous,100,marketing,False,-0.008547008547008517
E11_s0,0,endogenous,100,medical_genetics,True,-0.020000000000000018
E11_s0,0,endogenous,100,miscellaneous,False,-0.025542784163473775
E11_s0,0,endogenous,100,moral_disputes,False,0.014450867052023142
E11_s0,0,endogenous,100,moral_scenarios,False,-0.3217877094972067
E11_s0,0,endogenous,100,nutrition,False,-0.006535947712418277
E11_s0,0,endogenous,100,philosophy,False,-0.048231511254019366
E11_s0,0,endogenous,100,prehistory,False,-0.01851851851851849
E11_s0,0,endogenous,100,professional_accounting,False,0.007092198581560294
E11_s0,0,endogenous,100,professional_law,False,-0.07692307692307698
E11_s0,0,endogenous,100,professional_medicine,True,0.018382352941176516
E11_s0,0,endogenous,100,professional_psychology,False,-0.017973856209150374
E11_s0,0,endogenous,100,public_relations,False,-0.00909090909090915
E11_s0,0,endogenous,100,security_studies,False,-0.1959183673469388
E11_s0,0,endogenous,100,sociology,False,0.00995024875621886
E11_s0,0,endogenous,100,us_foreign_policy,False,0.0
E11_s0,0,endogenous,100,virology,True,-0.0060240963855421326
E11_s0,0,endogenous,100,world_religions,False,-0.01754385964912286
E02_s7,7,none,0,abstract_algebra,False,-0.13
E02_s7,7,none,0,anatomy,True,-0.014814814814814836
E02_s7,7,none,0,astronomy,False,-0.02631578947368418
E02_s7,7,none,0,business_ethics,False,-0.010000000000000009
E02_s7,7,none,0,clinical_knowledge,True,0.0037735849056603765
E02_s7,7,none,0,college_biology,True,-0.00694444444444442
E02_s7,7,none,0,college_chemistry,False,-0.020000000000000018
E02_s7,7,none,0,college_computer_science,False,-0.030000000000000027
E02_s7,7,none,0,college_mathematics,False,-0.040000000000000036
E02_s7,7,none,0,college_medicine,True,0.01734104046242768
E02_s7,7,none,0,college_physics,False,0.019607843137254943
E02_s7,7,none,0,computer_security,False,0.0
E02_s7,7,none,0,conceptual_physics,False,-0.021276595744680882
E02_s7,7,none,0,econometrics,False,-0.08771929824561409
E02_s7,7,none,0,electrical_engineering,False,-0.020689655172413723
E02_s7,7,none,0,elementary_mathematics,False,-0.042328042328042326
E02_s7,7,none,0,formal_logic,False,-0.03968253968253965
E02_s7,7,none,0,global_facts,False,-0.06000000000000005
